id;name;email;headquarters_location;r_and_d_location;country;product;employeestrength;revenues;telephone;website;productionvolumes;keycustomers;region;foundingyear;keymanagement;rate;offeringproducts;customerneeds;technologyuse;competitiveadvantage;challenges;recentnews;strategicpartenrship;comments;businessstrategies;revenue;ebit;operatingcashflow;investingcashflow;freecashflow;roce;equityratio;employeesperregion;pricingstrategy;productlaunch;ceo;cfo;cto;rdhead;saleshead;productionhead;keydecisionmarker;financialyear
1;Ohio Carbon;info@ohiocarbon.com;1201 Jacobson Ave, Ashland, Ohio, 44805, United States;NA;USA;Brush;fezf;$6.2 million;(888) 248-5029;www.ohiocarbon.com;;Oster Acuna;NAFTA;;;;;;;;;;;;;~ $50 Million;;;;;;;;;;;;;;;;;
2;Helwig;sales@helwigcarbon.com;Milwaukee, WI, USA;NA;USA;Brush;;;;https://www.helwigcarbon.com/;;;NAFTA;;;;;;;;;;;;;~ $1500 Million;;;;;;;;;;;;;;;;;
3;Schunk ;infobox@schunk-group.com;Rodheimer Str. 59, 35452 Heuchelheim, Germany;NA;USA;Brush;;$ 1.67 billion;6416080;https://www.schunk-group.com/;;;NAFTA;1913;;;;;;;;;;;;~ $1500 Million;;;;;;;;;;"	Peter R. Manolopoulos";;;;;;;
4;Schunk ;infobox@schunk-group.com;Rodheimer Str. 59, 35452 Heuchelheim, Germany;NA;Mexico;Brush;;$ 1.67 billion;6416081;https://www.schunk-group.com/;;;NAFTA;1913;;;;;;;;;;;;~ $1500 Million;;;;;;;;;;"	Peter R. Manolopoulos";;;;;;;
5;Schunk ;infobox@schunk-group.com;Rodheimer Str. 59, 35452 Heuchelheim, Germany;NA;Mexico;Assembly;;$ 1.67 billion;6416082;https://www.schunk-group.com/;;;NAFTA;1913;;;;;;;;;;;;;;;;;;;;;;"	Peter R. Manolopoulos";;;;;;;
6;Morgan AM&T;info@morganplc.com;441 Hall Avenue, Saint Marys, PA, USA;NA;USA;Brush;;;+1 864-458-7777 (PA) / +1 419-435-8182 (OH);https://www.morganadvancedmaterials.com/en-gb/;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Morgan AM&T;info@morganplc.com;441 Hall Avenue, Saint Marys, PA, USA;441 Hall Avenue, Saint Marys, PA, USA;Mexico;Brush;;;;https://www.morganadvancedmaterials.com/en-gb/;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Mersen;info.northamerica@mersen.com;10 Avenue de l'Entreprise, 95863 Cergy-Pontoise, France;"	795 Santa Fe Pike, Columbia, TN 38401";USA;Brush;;;" +1 989-894-2911
+1 800-526-0877
+1 225-647-6752";https://www.mersen.com/;;;NAFTA;1891;;;;;;;;;;;;;;;;;;;;;;Luc Themelin;Thomas Baumgartner;Christophe Bommier;;Tom Giuliano;;;
9;Hyunbo;sales@hyunbo.com;123 Industrial Rd, Seoul, South Korea;123 Industrial Rd, Seoul, South Korea;Mexico;Assembly;;;;http://www.hyunbo.com/;;;NAFTA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Eckerle;info@mx.eckerle-gruppe.com;456 Automation Blvd, Baden-Baden, Germany;456 Automation Blvd, Baden-Baden, Germany;Mexico;Assembly;4500;;+52.442.2.96.44.00;https://www.eckerle.com/;;;NAFTA;1968;;;;;;;;;;;;;;;;;;;;;;Andreas Gohring;;;;;;;
11;Fineworld;xiaoyan_liu@fineworld.com.cn;;No. 161, Jingjinyuan Avenue, Zhenjiang High-tech Development Park, Jiangsu province, China;China;Assembly;;;8 651 180 863 536;http://www.fineworld.com.cn/;;Valeo;East_Asia;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Winworld;logistics@zjwinworld.com;;No. 18, Jingqi Road, Dingmao Development Zone, Zhenjiang City, Jiangsu Province,China;China;Assembly;;;8 651 188 898 083;https://www.zjwinworld.cn/;;Inteva;East_Asia;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Tianlong;cichao.mi@ptianlong.com;;No. 116, Batang Road, Hangzhou Bay New District, Ningbo City, Zhejiang Province, China;China;Assembly;;;8 657 458 999 888;http://www.ptianlong.com/;;Inteva;East_Asia;2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Hyunbo;wanghj@hyunbo.com;;Korea;China;Assembly;;;+86 512-65901408;http://hyunbo.com/;;Bosch;East_Asia;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Eckerle;info@cn.eckerle-gruppe.com;;Beilngries, Germany;China;Assembly;4500;;+86.756.680.8811;https://www.eckerle-gruppe.com/zh-hans/;;Bosch, Brose, Continental ;East_Asia;1968;;;;;;;;;;;;;;;;;;;;;;Andreas Gohring;;;;;;;
16;Unitekno;hyue@unitekno.co.kr;;Korea;China;Assembly;;;+86 0631-5960900;www.unitekno.com.kr;;Dongyang;East_Asia;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Shunheng;ytshunheng@163.com;;No. 21, Haixing Road, Fangyuan Industrial Park, Haiyang City, Shandong Province;China;Assembly;;;8 613 953 515 341;;;Dongyang;East_Asia;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Doneka;NA;;No.2 Wenzhou Road, Wenzhou Industrial Park, Shuangfeng Town, Taicang City,Jiangsu province, China;China;Assembly;;;8,65E+12;http://www.doneka.com.cn/;;Shendian;East_Asia;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;KAV;NA;;Wenzhou ;China;Assembly;;;8,66E+12;http://www.kav-carbon.com/;;Shenghuabo ;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Ruixin;"16712719@qq.com
";;No. 6, Kangda Road, Hongqi Industrial Zone, Ruian City, Zhejiang Province?china;China;Assembly;;12 million;15158707071;www.rx-dq.com;;Hitachi ,Makita,Ryobi,Bosch ,Prestolite,Kisung ,TTI;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Jiachun;NA;;"Room 1020, Building 6, No. 1800 Jiangchuan Road, Minhang District, Shanghai
??";China;Assembly;;;86 21-64632348;;;Valeo;East_Asia;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;KAV;NA;;No.478 LingHua Road, OuJiangKou Industrial Zone, WenZhou ,ZheJiang, China;China;Brush;;;0577-55873678;http://www.kav-carbon.com/;;SHB;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Hengji;NA;;No.2 Manao road Shuping zone, Zhigong, Sichuan, China;China;Brush;;;;http://www.hjdt.cn/;;SHB, YFAM;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Tris;NA;;1105-2 Kushida, Matsusaka, Mie 515-0204 JAPAN;Japan;Brush;;;;http://www.tris.co.jp;;Denso,Mitsubishi,MITSUBA,Bosch ;East_Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Aupac; aupac-74@aupac.co.jp;;242-0012 Kanagawa Prefecture Yamato City Shenmi East 1-3-5;Japan;Brush;;; 0411-87611-450;http://www.aupac.cn/;;;East_Asia;1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
